doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1371/journal.pone.0155055,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155055,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155055,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,17/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155086,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155086,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155086,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,05/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155239,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155239,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155239,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,16/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155297,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155297,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155297,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,05/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155316,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155316,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155316,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,18/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155342,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155342,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155342,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,13/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155446,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155446,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155446,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,13/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155507,open (via free pdf),publisher,,http://doi.org/10.1371/journal.pone.0155507,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155507,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,19/05/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155508,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155508,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155508,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,01/06/2016,Public Library of Science (PLoS)
10.1371/journal.pone.0155637,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1371/journal.pone.0155637,TRUE,publishedVersion,2,https://doi.org/10.1371/journal.pone.0155637,journal-article,TRUE,TRUE,1932-6203,PLOS ONE,19/05/2016,Public Library of Science (PLoS)
