doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1080/14772019.2013.852903,,,,,False,,2,https://doi.org/10.1080/14772019.2013.852903,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-02-28,Informa UK Limited
10.1080/14772019.2013.863232,,,,,False,,2,https://doi.org/10.1080/14772019.2013.863232,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-03-03,Informa UK Limited
10.1080/14772019.2013.863809,,,,,False,,2,https://doi.org/10.1080/14772019.2013.863809,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-03-12,Informa UK Limited
10.1080/14772019.2013.867373,,,,,False,,2,https://doi.org/10.1080/14772019.2013.867373,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-04-15,Informa UK Limited
10.1080/14772019.2013.871586,oa repository (via OAI-PMH doi match),repository,,http://www.stri.si.edu/sites/publications/PDFs/Luque_2015_Araripecarcinus_Cretaceous_Santana_FmBrazil.pdf,True,submittedVersion,2,https://doi.org/10.1080/14772019.2013.871586,journal-article,True,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-04-10,Informa UK Limited
10.1080/14772019.2013.875074,,,,,False,,2,https://doi.org/10.1080/14772019.2013.875074,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-03-27,Informa UK Limited
10.1080/14772019.2013.878758,,,,,False,,2,https://doi.org/10.1080/14772019.2013.878758,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-03-31,Informa UK Limited
10.1080/14772019.2014.880752,,,,,False,,2,https://doi.org/10.1080/14772019.2014.880752,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-03-10,Informa UK Limited
10.1080/14772019.2014.881928,,,,,False,,2,https://doi.org/10.1080/14772019.2014.881928,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-03-31,Informa UK Limited
10.1080/14772019.2014.890136,,,,,False,,2,https://doi.org/10.1080/14772019.2014.890136,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-04-01,Informa UK Limited
10.1080/14772019.2014.893260,,,,,False,,2,https://doi.org/10.1080/14772019.2014.893260,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-04-07,Informa UK Limited
10.1080/14772019.2014.897266,,,,,False,,2,https://doi.org/10.1080/14772019.2014.897266,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-04-04,Informa UK Limited
10.1080/14772019.2014.902400,,,,,False,,2,https://doi.org/10.1080/14772019.2014.902400,journal-article,False,False,"1477-2019,1478-0941",Journal of Systematic Palaeontology,2014-05-14,Informa UK Limited
