doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1007/s12542-013-0210-4,,,,,False,,2,https://doi.org/10.1007/s12542-013-0210-4,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-10-16,Springer Nature
10.1007/s12542-013-0211-3,,,,,False,,2,https://doi.org/10.1007/s12542-013-0211-3,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-11-01,Springer Nature
10.1007/s12542-013-0213-1,,,,,False,,2,https://doi.org/10.1007/s12542-013-0213-1,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-11-29,Springer Nature
10.1007/s12542-013-0214-0,,,,,False,,2,https://doi.org/10.1007/s12542-013-0214-0,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-11-29,Springer Nature
10.1007/s12542-013-0215-z,,,,,False,,2,https://doi.org/10.1007/s12542-013-0215-z,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-11-23,Springer Nature
10.1007/s12542-013-0216-y,,,,,False,,2,https://doi.org/10.1007/s12542-013-0216-y,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-12-21,Springer Nature
10.1007/s12542-013-0217-x,,,,,False,,2,https://doi.org/10.1007/s12542-013-0217-x,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-12-22,Springer Nature
10.1007/s12542-013-0218-9,,,,,False,,2,https://doi.org/10.1007/s12542-013-0218-9,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2013-12-27,Springer Nature
10.1007/s12542-013-0219-8,,,,,False,,2,https://doi.org/10.1007/s12542-013-0219-8,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-01-08,Springer Nature
10.1007/s12542-013-0220-2,,,,,False,,2,https://doi.org/10.1007/s12542-013-0220-2,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-01-05,Springer Nature
10.1007/s12542-014-0221-9,,,,,False,,2,https://doi.org/10.1007/s12542-014-0221-9,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-01-30,Springer Nature
10.1007/s12542-014-0222-8,,,,,False,,2,https://doi.org/10.1007/s12542-014-0222-8,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-02-16,Springer Nature
10.1007/s12542-014-0223-7,,,,,False,,2,https://doi.org/10.1007/s12542-014-0223-7,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-02-09,Springer Nature
10.1007/s12542-014-0224-6,,,,,False,,2,https://doi.org/10.1007/s12542-014-0224-6,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-02-16,Springer Nature
10.1007/s12542-014-0225-5,,,,,False,,2,https://doi.org/10.1007/s12542-014-0225-5,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-02-27,Springer Nature
10.1007/s12542-014-0226-4,,,,,False,,2,https://doi.org/10.1007/s12542-014-0226-4,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-02-25,Springer Nature
10.1007/s12542-014-0227-3,,,,,False,,2,https://doi.org/10.1007/s12542-014-0227-3,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-03-11,Springer Nature
10.1007/s12542-014-0228-2,,,,,False,,2,https://doi.org/10.1007/s12542-014-0228-2,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-03-19,Springer Nature
10.1007/s12542-014-0229-1,,,,,False,,2,https://doi.org/10.1007/s12542-014-0229-1,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-04-09,Springer Nature
10.1007/s12542-014-0230-8,,,,,False,,2,https://doi.org/10.1007/s12542-014-0230-8,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-04-16,Springer Nature
10.1007/s12542-014-0231-7,,,,,False,,2,https://doi.org/10.1007/s12542-014-0231-7,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-04-10,Springer Nature
10.1007/s12542-014-0232-6,,,,,False,,2,https://doi.org/10.1007/s12542-014-0232-6,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-04-09,Springer Nature
10.1007/s12542-014-0233-5,,,,,False,,2,https://doi.org/10.1007/s12542-014-0233-5,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-06-18,Springer Nature
10.1007/s12542-014-0234-4,,,,,False,,2,https://doi.org/10.1007/s12542-014-0234-4,journal-article,False,False,"0031-0220,1867-6812",Paläontologische Zeitschrift,2014-06-18,Springer Nature
